Town,County
Adams,Jefferson
Addison,Steuben
Afton,Chenango
Alabama,Genesee
Albion,Orleans
Albion,Oswego
Alden,Erie
Alexander,Genesee
Alexandria,Jefferson
Alfred,Allegany
Allegany,Cattaraugus
Allen,Allegany
Alma,Allegany
Almond,Allegany
Altona,Clinton
Amboy,Oswego
Amenia,Dutchess
Amherst,Erie
Amity,Allegany
Amsterdam,Montgomery
Ancram,Columbia
Andes,Delaware
Andover,Allegany
Angelica,Allegany
Annsville,Oneida
Antwerp,Jefferson
Arcade,Wyoming
Arcadia,Wayne
Argyle,Washington
Arietta,Hamilton
Arkwright,Chautauqua
Ashford,Cattaraugus
Ashland,Chemung
Ashland,Greene
Athens,Greene
Attica,Wyoming
Au Sable,Clinton
Augusta,Oneida
Aurelius,Cayuga
Aurora,Erie
Austerlitz,Columbia
Ava,Oneida
Avoca,Steuben
Avon,Livingston
Babylon,Suffolk
Bainbridge,Chenango
Baldwin,Chemung
Ballston,Saratoga
Bangor,Franklin
Barker,Broome
Barre,Orleans
Barrington,Yates
Barton,Tioga
Batavia,Genesee
Bath,Steuben
Bedford,Westchester
Beekman,Dutchess
Beekmantown,Clinton
Belfast,Allegany
Bellmont,Franklin
Bennington,Wyoming
Benson,Hamilton
Benton,Yates
Bergen,Genesee
Berkshire,Tioga
Berlin,Rensselaer
Berne,Albany
Bethany,Genesee
Bethel,Sullivan
Bethlehem,Albany
Big Flats,Chemung
Binghamton,Broome
Birdsall,Allegany
Black Brook,Clinton
Bleecker,Fulton
Blenheim,Schoharie
Blooming Grove,Orange
Bolivar,Allegany
Bolton,Warren
Bombay,Franklin
Boonville,Oneida
Boston,Erie
Bovina,Delaware
Boylston,Oswego
Bradford,Steuben
Brandon,Franklin
Brant,Erie
Brasher,St. Lawrence
Bridgewater,Oneida
Brighton,Franklin
Brighton,Monroe
Bristol,Ontario
Broadalbin,Fulton
Brookfield,Madison
Brookhaven,Suffolk
Broome,Schoharie
Brownville,Jefferson
Brunswick,Rensselaer
Brutus,Cayuga
Burke,Franklin
Burlington,Otsego
Burns,Allegany
Busti,Chautauqua
Butler,Wayne
Butternuts,Otsego
Byron,Genesee
Cairo,Greene
Caledonia,Livingston
Callicoon,Sullivan
Cambria,Niagara
Cambridge,Washington
Camden,Oneida
Cameron,Steuben
Camillus,Onondaga
Campbell,Steuben
Canaan,Columbia
Canadice,Ontario
Canajoharie,Montgomery
Canandaigua,Ontario
Candor,Tioga
Caneadea,Allegany
Canisteo,Steuben
Canton,St. Lawrence
Cape Vincent,Jefferson
Carlisle,Schoharie
Carlton,Orleans
Carmel,Putnam
Caroga,Fulton
Caroline,Tompkins
Carroll,Chautauqua
Carrollton,Cattaraugus
Castile,Wyoming
Catharine,Schuyler
Catlin,Chemung
Cato,Cayuga
Caton,Steuben
Catskill,Greene
Cayuta,Schuyler
Cazenovia,Madison
Centerville,Allegany
Champion,Jefferson
Champlain,Clinton
Charleston,Montgomery
Charlotte,Chautauqua
Charlton,Saratoga
Chateaugay,Franklin
Chatham,Columbia
Chautauqua,Chautauqua
Chazy,Clinton
Cheektowaga,Erie
Chemung,Chemung
Chenango,Broome
Cherry Creek,Chautauqua
Cherry Valley,Otsego
Chester,Orange
Chester,Warren
Chesterfield,Essex
Chili,Monroe
Cicero,Onondaga
Cincinnatus,Cortland
Clare,St. Lawrence
Clarence,Erie
Clarendon,Orleans
Clarkson,Monroe
Clarkstown,Rockland
Clarksville,Allegany
Claverack,Columbia
Clay,Onondaga
Clayton,Jefferson
Clermont,Columbia
Clifton,St. Lawrence
Clifton Park,Saratoga
Clinton,Clinton
Clinton,Dutchess
Clymer,Chautauqua
Cobleskill,Schoharie
Cochecton,Sullivan
Coeymans,Albany
Cohocton,Steuben
Colchester,Delaware
Colden,Erie
Coldspring,Cattaraugus
Colesville,Broome
Collins,Erie
Colonie,Albany
Colton,St. Lawrence
Columbia,Herkimer
Columbus,Chenango
Concord,Erie
Conesus,Livingston
Conesville,Schoharie
Conewango,Cattaraugus
Conklin,Broome
Conquest,Cayuga
Constable,Franklin
Constantia,Oswego
Copake,Columbia
Corinth,Saratoga
Corning,Steuben
Cornwall,Orange
Cortlandt,Westchester
Cortlandville,Cortland
Coventry,Chenango
Covert,Seneca
Covington,Wyoming
Coxsackie,Greene
Crawford,Orange
Croghan,Lewis
Crown Point,Essex
Cuba,Allegany
Cuyler,Cortland
Danby,Tompkins
Dannemora,Clinton
Dansville,Steuben
Danube,Herkimer
Darien,Genesee
Davenport,Delaware
Day,Saratoga
Dayton,Cattaraugus
De Kalb,St. Lawrence
De Peyster,St. Lawrence
DeRuyter,Madison
DeWitt (De Witt),Onondaga
Decatur,Otsego
Deerfield,Oneida
Deerpark,Orange
Delaware,Sullivan
Delhi,Delaware
Denmark,Lewis
Denning,Ulster
Deposit,Delaware
Diana,Lewis
Dickinson,Broome
Dickinson,Franklin
Dix,Schuyler
Dover,Dutchess
Dresden,Washington
Dryden,Tompkins
Duane,Franklin
Duanesburg,Schenectady
Dunkirk,Chautauqua
Durham,Greene
Eagle,Wyoming
East Bloomfield,Ontario
East Fishkill,Dutchess
East Greenbush,Rensselaer
East Hampton,Suffolk
East Otto,Cattaraugus
East Rochester,Monroe
Eastchester,Westchester
Easton,Washington
Eaton,Madison
Eden,Erie
Edinburg,Saratoga
Edmeston,Otsego
Edwards,St. Lawrence
Elba,Genesee
Elbridge,Onondaga
Elizabethtown,Essex
Ellenburg,Clinton
Ellery,Chautauqua
Ellicott,Chautauqua
Ellicottville,Cattaraugus
Ellington,Chautauqua
Ellisburg,Jefferson
Elma,Erie
Elmira,Chemung
Enfield,Tompkins
Ephratah,Fulton
Erin,Chemung
Erwin,Steuben
Esopus,Ulster
Esperance,Schoharie
Essex,Essex
Evans,Erie
Exeter,Otsego
Fabius,Onondaga
Fairfield,Herkimer
Fallsburg,Sullivan
Farmersville,Cattaraugus
Farmington,Ontario
Fayette,Seneca
Fenner,Madison
Fenton,Broome
Fine,St. Lawrence
Fishkill,Dutchess
Fleming,Cayuga
Florence,Oneida
Florida,Montgomery
Floyd,Oneida
Forestburgh,Sullivan
Forestport,Oneida
Fort Ann,Washington
Fort Covington,Franklin
Fort Edward,Washington
Fowler,St. Lawrence
Frankfort,Herkimer
Franklin,Delaware
Franklin,Franklin
Franklinville,Cattaraugus
Freedom,Cattaraugus
Freetown,Cortland
Fremont,Steuben
Fremont,Sullivan
French Creek,Chautauqua
Friendship,Allegany
Fulton,Schoharie
Gaines,Orleans
Gainesville,Wyoming
Galen,Wayne
Gallatin,Columbia
Galway,Saratoga
Gardiner,Ulster
Gates,Monroe
Geddes,Onondaga
Genesee,Allegany
Genesee Falls,Wyoming
Geneseo,Livingston
Geneva,Ontario
Genoa,Cayuga
Georgetown,Madison
German,Chenango
German Flatts,Herkimer
Germantown,Columbia
Gerry,Chautauqua
Ghent,Columbia
Gilboa,Schoharie
Glen,Montgomery
Glenville,Schenectady
Gorham,Ontario
Goshen,Orange
Gouverneur,St. Lawrence
Grafton,Rensselaer
Granby,Oswego
Grand Island,Erie
Granger,Allegany
Granville,Washington
Great Valley,Cattaraugus
Greece,Monroe
Green Island,Albany
Greenburgh,Westchester
Greene,Chenango
Greenfield,Saratoga
Greenport,Columbia
Greenville,Greene
Greenville,Orange
Greenwich,Washington
Greenwood,Steuben
Greig,Lewis
Groton,Tompkins
Grove,Allegany
Groveland,Livingston
Guilderland,Albany
Guilford,Chenango
Hadley,Saratoga
Hague,Warren
Halcott,Greene
Halfmoon,Saratoga
Hamburg,Erie
Hamden,Delaware
Hamilton,Madison
Hamlin,Monroe
Hammond,St. Lawrence
Hampton,Washington
Hamptonburgh,Orange
Hancock,Delaware
Hannibal,Oswego
Hanover,Chautauqua
Hardenburgh,Ulster
Harford,Cortland
Harmony,Chautauqua
Harpersfield,Delaware
Harrietstown,Franklin
Harrisburg,Lewis
Harrison,Westchester
Hartford,Washington
Hartland,Niagara
Hartsville,Steuben
Hartwick,Otsego
Hastings,Oswego
Haverstraw,Rockland
Hebron,Washington
Hector,Schuyler
Hempstead,Nassau
Henderson,Jefferson
Henrietta,Monroe
Herkimer,Herkimer
Hermon,St. Lawrence
Highland,Sullivan
Highlands,Orange
Hillsdale,Columbia
Hinsdale,Cattaraugus
Holland,Erie
Homer,Cortland
Hoosick,Rensselaer
Hope,Hamilton
Hopewell,Ontario
Hopkinton,St. Lawrence
Horicon,Warren
Hornby,Steuben
Hornellsville,Steuben
Horseheads,Chemung
Hounsfield,Jefferson
Howard,Steuben
Hume,Allegany
Humphrey,Cattaraugus
Hunter,Greene
Huntington,Suffolk
Hurley,Ulster
Huron,Wayne
Hyde Park,Dutchess
Independence,Allegany
Indian Lake,Hamilton
Inlet,Hamilton
Ira,Cayuga
Irondequoit,Monroe
Ischua,Cattaraugus
Islip,Suffolk
Italy,Yates
Ithaca,Tompkins
Jackson,Washington
Jasper,Steuben
Java,Wyoming
Jay,Essex
Jefferson,Schoharie
Jerusalem,Yates
Jewett,Greene
Johnsburg,Warren
Johnstown,Fulton
Junius,Seneca
Keene,Essex
Kendall,Orleans
Kent,Putnam
